AgriPulse_India_2000_2026,,,,,,,,,,
,,,,,,,,,,
ID,State_Region,YEAR,CROP-TYPE,SOIL_TYPE,SOIL_PH,FERTILIZER(KG/HA),PESTICIDE(KG/HA),AVG_YIELD,TEMP,RAIN
636,UP,2014,Wheat,Alluvial_Soil,7.1,235,3.6,68.2,26.7,1400
637,Gujarat,2015,Cotton,Black_Soil,7.8,145,1.7,30.8,22.5,390
638,Maharashtra,2016,Sugarcane,Deep_Black,7.9,258,4,955,19.1,1250
639,Karnataka,2017,Tobacco,Red_Loamy,6.6,175,2.4,28.8,30.8,860
640,WB,2018,Jute,New_Alluvial,6.3,125,1.7,43.5,25.9,1180
641,TN,2019,Groundnut,Coastal_Sandy,6.8,135,1.6,33.2,28.4,950
642,Bihar,2020,Maize,Alluvial_Loam,7.1,158,2.2,62.5,21.2,560
643,Kerala,2021,Cardamom,Forest_Soil,5.2,55,0.8,7.2,26.1,1460
644,Assam,2022,Rice,Alluvial_Clay,5.7,142,2,44.2,24.4,1030
645,HP,2023,Wheat,Alluvial_Soil,7.2,165,2.3,53.5,18.5,1310
646,AP,2024,Cotton,Black_Soil,7.6,145,1.9,30.2,31.2,1200
647,Odisha,2025,Rice,Red_Yellow,6.3,152,2.1,47.2,23.1,850
648,Telangana,2026,Turmeric,Black_Soil,7.4,188,2.8,76.5,25.5,1450
649,Punjab,2000,Wheat,Alluvial_Soil,7.3,225,3.5,71.2,27.2,600
650,Haryana,2001,Rice,Alluvial_Soil,7.1,215,3.1,62.5,20.8,950
651,Rajasthan,2002,Mustard,Sandy_Arid,7.8,142,1.7,37.2,29.5,450
652,UP,2003,Sugarcane,Alluvial_Soil,6.8,255,4.3,988,18.2,1100
653,Gujarat,2004,Castor,Sandy_Loam,7.6,132,1.5,42.5,31.8,720
654,Maharashtra,2005,Cotton,Black_Regur,7.9,155,1.8,32.8,24.9,1380
655,Karnataka,2006,Maize,Red_Loam,6.4,168,2.4,59.5,26.4,1600
656,WB,2007,Jute,New_Alluvial,6.3,135,1.7,47.2,22.7,550
657,TN,2008,Coconut,Coastal_Sandy,6.7,125,1.4,205,19.9,890
658,Bihar,2009,Maize,Alluvial_Loam,7.1,165,2.2,67.8,28.6,1250
659,Kerala,2010,Coffee,Laterite_Soil,5.4,105,1.3,21.2,25.1,1050
660,HP,2011,Apple,Mountain_Soil,6.1,195,2.9,198,23.6,400
661,Assam,2012,Rice,Alluvial_Clay,5.8,145,2,48.2,17.5,1550
662,Punjab,2013,Rice,Alluvial_Soil,7.1,235,3.6,65.2,32.5,780
663,Haryana,2014,Cotton,Sandy_Loam,7.7,155,2.2,38.2,21.4,1150
664,Rajasthan,2015,Guar,Sandy_Desert,8.4,82,1.1,25.5,27.9,920
665,UP,2016,Wheat,Alluvial_Soil,7.1,245,3.8,71.5,24.8,640
666,Gujarat,2017,Groundnut,Sandy_Loam,7.3,142,1.8,39.2,20.1,1300
667,Maharashtra,2018,Sugarcane,Deep_Black,7.9,265,4.5,960,30.2,810
668,MP,2019,Gram,Black_Soil,7.5,135,1.7,29.5,25.7,1420
669,WB,2020,Jute,Deltaic_Alluvial,6.3,138,1.6,41.2,28.8,1050
670,AP,2021,Chillies,Black_Soil,7.5,158,2.2,33.2,22.2,480
671,Karnataka,2022,Ragi,Red_Loamy,6.2,125,1.5,39.2,19.4,1120
672,TN,2023,Coconut,Coastal_Sandy,6.7,128,1.7,175,31.4,700
673,Kerala,2024,Tea,Laterite_Soil,5.2,195,3,41.2,24.6,1500
674,Bihar,2025,Maize,Alluvial_Soil,7,145,2.1,45.2,26.2,860
675,Assam,2026,Tea,Acidic_Alluvial,4.9,205,3.3,37.2,23.8,1220
676,HP,2000,Apple,Mountain_Soil,6,198,3.1,172,21.5,1100
677,Odisha,2001,Rice,Red_Yellow,6.3,155,2,47.5,29.9,350
678,Chhattisgarh,2002,Soybean,Red_Soil,6.2,142,1.8,28.5,25.3,1480
679,Telangana,2003,Cotton,Black_Soil,7.6,165,2.2,31.2,27.7,790
680,Uttarakhand,2004,Basmati_Rice,Loamy_Soil,6.6,175,2.4,45.8,18.9,1180
681,Jharkhand,2005,Pulses,Red_Soil,6.3,115,1.3,21.2,30.6,940
682,Punjab,2006,Mustard,Alluvial_Soil,7.2,158,2.1,34.2,24.1,620
683,Gujarat,2007,Castor,Sandy_Loam,7.5,145,1.9,39.8,26.8,1350
684,Haryana,2008,Wheat,Alluvial_Soil,7.3,228,3.4,69.5,22.4,830
685,UP,2009,Sugarcane,Alluvial_Loam,6.9,275,4.5,965,20.7,1400
686,WB,2010,Rice,Clayey_Alluvial,5.9,172,2.5,58.5,28.1,1000
687,Maharashtra,2011,Cotton,Deep_Black,7.7,155,2.1,33.5,25.9,460
688,MP,2012,Soybean,Medium_Black,7.4,148,2,27.2,23.2,1080
689,Rajasthan,2013,Wheat,Sandy_Loam,7.8,128,1.7,46.5,31.7,680
690,Karnataka,2014,Maize,Red_Loamy,6.5,178,2.7,52.5,19.6,1580
691,AP,2015,Cotton,Black_Soil,7.6,155,2.2,32.5,27.4,880
692,TN,2016,Banana,Alluvial_Loam,6.7,215,3.2,472,24.3,1260
693,Kerala,2017,Pepper,Red_Loam,5.5,95,1.2,17.5,22.9,1020
694,Bihar,2018,Tobacco,Calcareous_Alluvial,7,138,1.9,35.5,28.5,420
695,Assam,2019,Rubber,Forest_Soil,5.4,115,1.5,27.5,21.1,1520
696,HP,2020,Potato,Mountain_Soil,5.9,195,3.1,312,25.6,1100
697,J_K,2021,Saffron,Karewa_Soil,7.8,75,1,0.21,23.7,840
698,Odisha,2022,Groundnut,Red_Soil,6.8,138,2.1,36.5,23.8,1340
699,Telangana,2023,Turmeric,Red_Loamy,6.9,188,3,88,25.4,1100
700,Chhattisgarh,2024,Rice,Red_Yellow_Soil,6.3,165,2.3,55.8,28.6,730
701,Punjab,2025,Wheat,Alluvial_Soil,7.2,208,3.1,67.2,20.9,1550
702,Haryana,2026,Rice,Alluvial_Soil,7.1,195,2.8,57.5,29.2,580
703,UP,2000,Sugarcane,Alluvial_Loam,6.8,265,4.2,935,18.5,1020
704,Maharashtra,2001,Cotton,Black_Regur,7.8,138,2.3,29.5,31.1,470
705,Gujarat,2002,Groundnut,Sandy_Loam,7.4,122,1.6,34.1,24.3,1150
706,Karnataka,2003,Maize,Red_Loam,6.4,162,2.2,51.2,26.8,840
707,AP,2004,Rice,Coastal_Alluvial,6.6,188,2.8,47.1,22.4,1420
708,TN,2005,Coconut,Coastal_Sandy,6.7,108,1.3,182,29.5,580
709,Kerala,2006,Rubber,Laterite_Soil,5.1,92,1.1,28.8,17.2,1050
710,MP,2007,Soybean,Medium_Black,7.5,148,1.8,26.2,33.1,370
711,Rajasthan,2008,Wheat,Sandy_Loam,7.9,115,1.5,39.2,21.7,1590
712,Bihar,2009,Maize,Alluvial_Loam,7.1,158,2.1,59.1,27.6,710
713,Assam,2010,Jute,Alluvial_Clay,5.8,102,1.7,34.2,24.2,1180
714,HP,2011,Apple,Mountain_Soil,6,182,3.5,175,20.5,950
715,Odisha,2012,Rice,Red_Yellow,6.3,142,2.2,43.1,30.6,580
716,Telangana,2013,Turmeric,Black_Soil,7.5,172,2.6,73.8,25.1,1350
717,Punjab,2014,Mustard,Alluvial_Soil,7.3,152,1.9,31.1,28.5,790
718,Haryana,2015,Wheat,Alluvial_Soil,7.2,218,3.3,66.5,22.8,1470
719,UP,2016,Potato,Alluvial_Loam,6.9,252,4,338,19.6,1140
720,Maharashtra,2017,Jowar,Regur_Soil,7.7,92,1.2,23.2,31.9,480
721,Karnataka,2018,Tobacco,Red_Loamy,6.5,168,2.2,26.8,24.3,1010
722,WB,2019,Tea,Acidic_Alluvial,5.3,188,2.8,37.5,26.4,660
723,AP,2020,Chillies,Black_Soil,7.6,158,2.1,30.5,23.5,1570
724,Kerala,2021,Pepper,Red_Loam,5.5,82,1,15.1,21.2,890
725,Bihar,2022,Gram,Alluvial_Soil,7.1,118,1.6,23.2,29.4,1220
726,Assam,2023,Rubber,Forest_Soil,5.4,108,1.4,22.2,25.6,980
727,HP,2024,Potato,Mountain_Soil,5.9,185,3.2,282,27.1,1420
728,J_K,2025,Saffron,Karewa_Soil,7.8,62,0.8,0.19,18.3,750
729,Odisha,2026,Sugarcane,Coastal_Alluvial,6.8,208,3.6,832,30.1,470
730,Telangana,2000,Soybean,Black_Soil,7.4,138,2,23.2,24.9,1140
731,Chhattisgarh,2001,Pulses,Red_Yellow_Soil,6.1,112,1.5,18.8,26.2,1310
732,Jharkhand,2002,Potato,Red_Loamy,6.4,162,2.2,248,22.6,920
733,Punjab,2003,Rice,Alluvial_Soil,7.2,232,3.5,62.1,20.2,1530
734,Haryana,2004,Mustard,Sandy_Loam,7.6,162,2.3,33.5,28.7,620
735,Rajasthan,2005,Bajra,Sandy_Desert,8.3,82,1.1,20.2,25.3,1080
736,UP,2006,Wheat,Alluvial_Soil,7.1,240,3.7,69.1,23.8,1410
737,Gujarat,2007,Cotton,Black_Soil,7.8,148,1.8,31.5,31.2,380
738,Maharashtra,2008,Sugarcane,Deep_Black,7.9,262,4.1,962,19.2,1260
739,Karnataka,2009,Tobacco,Red_Loamy,6.6,178,2.5,29.5,27.8,870
740,WB,2010,Jute,New_Alluvial,6.3,128,1.8,44.2,24.7,1190
741,TN,2011,Groundnut,Coastal_Sandy,6.8,138,1.7,34.1,22.1,960
742,Bihar,2012,Maize,Alluvial_Loam,7.1,162,2.3,63.2,28.3,550
743,Kerala,2013,Cardamom,Forest_Soil,5.2,58,0.9,7.5,21.6,1450
744,Assam,2014,Rice,Alluvial_Clay,5.7,145,2.1,45.1,25.9,1040
745,HP,2015,Wheat,Alluvial_Soil,7.2,168,2.4,54.2,23.1,1320
746,AP,2016,Cotton,Black_Soil,7.6,148,2,31.1,18.4,1100
747,Odisha,2017,Rice,Red_Yellow,6.3,155,2.2,48.1,30.4,450
748,Telangana,2018,Turmeric,Black_Soil,7.4,192,2.9,77.2,24.5,1180
749,Punjab,2019,Wheat,Alluvial_Soil,7.3,228,3.6,72.1,26.1,850
750,Haryana,2020,Rice,Alluvial_Soil,7.1,218,3.2,63.2,22.3,1440
751,Rajasthan,2021,Mustard,Sandy_Arid,7.8,145,1.8,38.1,28.9,590
752,UP,2022,Sugarcane,Alluvial_Soil,6.8,258,4.4,992,19.7,1240
753,Gujarat,2023,Castor,Sandy_Loam,7.6,135,1.6,43.1,31.6,380
754,Maharashtra,2024,Cotton,Black_Regur,7.9,158,1.9,33.5,23.2,1410
755,Karnataka,2025,Maize,Red_Loam,6.4,172,2.5,60.2,25.8,1060
756,WB,2026,Jute,New_Alluvial,6.3,138,1.8,48.1,28.1,640
757,TN,2000,Coconut,Coastal_Sandy,6.7,128,1.5,210,20.6,1530
758,Bihar,2001,Maize,Alluvial_Loam,7.1,168,2.3,68.5,22.5,900
759,Kerala,2002,Coffee,Laterite_Soil,5.4,108,1.4,22.1,26.7,1290
760,HP,2003,Apple,Mountain_Soil,6.1,198,3,202,24.2,1130
761,Assam,2004,Rice,Alluvial_Clay,5.8,148,2.1,49.1,30.5,450
762,Punjab,2005,Rice,Alluvial_Soil,7.1,238,3.7,66.2,18.8,750
763,Haryana,2006,Cotton,Sandy_Loam,7.7,158,2.3,39.1,27.6,1440
764,Rajasthan,2007,Guar,Sandy_Desert,8.4,85,1.2,26.2,25.2,980
765,UP,2008,Wheat,Alluvial_Soil,7.1,248,3.9,72.5,29.8,1200
766,Gujarat,2009,Groundnut,Sandy_Loam,7.3,145,1.9,40.1,21.4,870
767,Maharashtra,2010,Sugarcane,Deep_Black,7.9,268,4.6,965,23.9,1540
768,MP,2011,Gram,Black_Soil,7.5,138,1.8,30.2,26.3,660
769,WB,2012,Jute,Deltaic_Alluvial,6.3,142,1.7,42.1,24.7,1030
770,AP,2013,Chillies,Black_Soil,7.5,162,2.3,34.1,31.5,500
771,Karnataka,2014,Ragi,Red_Loamy,6.2,128,1.6,40.1,19.3,1140
772,TN,2015,Coconut,Coastal_Sandy,6.7,132,1.8,180,22.1,1490
773,Kerala,2016,Tea,Laterite_Soil,5.2,198,3.1,42.1,28.7,780
774,Bihar,2017,Maize,Alluvial_Soil,7,148,2.2,46.2,25.6,1330
775,Assam,2018,Tea,Acidic_Alluvial,4.9,208,3.4,38.1,30.1,600
776,HP,2019,Apple,Mountain_Soil,6,202,3.2,175,20.2,950
777,Odisha,2020,Rice,Red_Yellow,6.3,158,2.1,48.5,24.9,1180
778,Chhattisgarh,2021,Soybean,Red_Soil,6.2,145,1.9,29.2,27.8,730
779,Telangana,2022,Cotton,Black_Soil,7.6,168,2.3,32.1,21.3,1580
780,Uttarakhand,2023,Basmati_Rice,Loamy_Soil,6.6,178,2.5,46.5,32.4,390
781,Jharkhand,2024,Pulses,Red_Soil,6.3,118,1.4,22.1,17.6,1070
782,Punjab,2025,Mustard,Alluvial_Soil,7.2,162,2.2,35.1,23.5,1290
783,Gujarat,2026,Castor,Sandy_Loam,7.5,148,2,40.5,25.2,930
784,Haryana,2000,Wheat,Alluvial_Soil,7.3,232,3.5,70.5,28.5,520
785,UP,2001,Sugarcane,Alluvial_Loam,6.9,278,4.6,970,19.8,1630
786,WB,2002,Rice,Clayey_Alluvial,5.9,175,2.6,59.2,22.6,1310
787,Maharashtra,2003,Cotton,Deep_Black,7.7,158,2.2,34.2,26.5,760
788,MP,2004,Soybean,Medium_Black,7.4,152,2.1,28.1,24.8,1140
789,Rajasthan,2005,Wheat,Sandy_Loam,7.8,132,1.8,47.2,31.7,440
790,Karnataka,2006,Maize,Red_Loamy,6.5,182,2.8,53.2,18.3,1030
791,AP,2007,Cotton,Black_Soil,7.6,158,2.3,33.2,29.4,590
792,TN,2008,Banana,Alluvial_Loam,6.7,218,3.3,478,20.7,1430
793,Kerala,2009,Pepper,Red_Loam,5.5,98,1.3,18.2,27.1,850
794,Bihar,2010,Tobacco,Calcareous_Alluvial,7,142,2,36.2,25.4,1110
795,Assam,2011,Rubber,Forest_Soil,5.4,118,1.6,28.2,23.2,1510
796,HP,2012,Potato,Mountain_Soil,5.9,198,3.2,318,31.1,430
797,J_K,2013,Saffron,Karewa_Soil,7.8,78,1.1,0.22,18.6,1010
798,Odisha,2014,Groundnut,Red_Soil,6.8,142,2.2,37.2,24.1,1180
799,Telangana,2015,Turmeric,Red_Loamy,6.9,192,3.1,90,26.5,860
800,Chhattisgarh,2016,Rice,Red_Yellow_Soil,6.3,168,2.4,56.5,22.9,1350
801,Punjab,2017,Wheat,Alluvial_Soil,7.2,212,3.2,68.1,28.1,620
802,Haryana,2018,Rice,Alluvial_Soil,7.1,198,2.9,58.2,19.6,1050
803,UP,2019,Sugarcane,Alluvial_Loam,6.8,268,4.3,942,31.7,410
804,Maharashtra,2020,Cotton,Black_Regur,7.8,142,2.4,30.2,25.3,1200
805,Gujarat,2021,Groundnut,Sandy_Loam,7.4,125,1.7,35.2,27.8,760
806,Karnataka,2022,Maize,Red_Loam,6.4,165,2.3,52.1,23.4,1430
807,AP,2023,Rice,Coastal_Alluvial,6.6,192,2.9,48.2,21.1,1580
808,TN,2024,Coconut,Coastal_Sandy,6.7,112,1.4,185,29.6,530
809,Kerala,2025,Rubber,Laterite_Soil,5.1,95,1.2,29.5,26.8,910
810,MP,2026,Soybean,Medium_Black,7.5,152,1.9,27.2,24.3,1240
811,Rajasthan,2000,Wheat,Sandy_Loam,7.9,118,1.6,40.2,18.2,1060
812,Bihar,2001,Maize,Alluvial_Loam,7.1,162,2.2,60.5,32.4,390
813,Assam,2002,Jute,Alluvial_Clay,5.8,105,1.8,35.2,22.7,1510
814,HP,2003,Apple,Mountain_Soil,6,185,3.6,178,27.2,740
815,Odisha,2004,Rice,Red_Yellow,6.3,145,2.3,44.5,25.5,1160
816,Telangana,2005,Turmeric,Black_Soil,7.5,175,2.7,75.2,19.9,930
817,Punjab,2006,Mustard,Alluvial_Soil,7.3,155,2,32.5,28.5,610
818,Haryana,2007,Wheat,Alluvial_Soil,7.2,222,3.4,67.2,24.9,1320
819,UP,2008,Potato,Alluvial_Loam,6.9,255,4.1,342,27.1,820
820,Maharashtra,2009,Jowar,Regur_Soil,7.7,95,1.3,24.2,23.6,1470
821,Karnataka,2010,Tobacco,Red_Loamy,6.5,172,2.3,27.5,18.1,1020
822,WB,2011,Tea,Acidic_Alluvial,5.3,192,2.9,38.5,31.3,460
823,AP,2012,Chillies,Black_Soil,7.6,162,2.2,31.5,25.6,1140
824,Kerala,2013,Pepper,Red_Loam,5.5,85,1.1,16.2,28.4,720
825,Bihar,2014,Gram,Alluvial_Soil,7.1,122,1.7,24.5,21.5,1530
826,Assam,2015,Rubber,Forest_Soil,5.4,112,1.5,23.5,26.3,880
827,HP,2016,Potato,Mountain_Soil,5.9,188,3.3,288,24.7,1210
828,J_K,2017,Saffron,Karewa_Soil,7.8,65,0.9,0.2,17.6,1120
829,Odisha,2018,Sugarcane,Coastal_Alluvial,6.8,212,3.7,838,32.8,340
830,Telangana,2019,Soybean,Black_Soil,7.4,142,2.1,24.5,23.1,1460
831,Chhattisgarh,2020,Pulses,Red_Yellow_Soil,6.1,115,1.6,19.5,27.5,810
832,Jharkhand,2021,Potato,Red_Loamy,6.4,165,2.3,255,25.2,1190
833,Punjab,2022,Rice,Alluvial_Soil,7.2,235,3.6,63.5,20.4,920
834,Haryana,2023,Mustard,Sandy_Loam,7.6,165,2.4,34.2,29.9,640
835,Rajasthan,2024,Bajra,Sandy_Desert,8.3,85,1.2,21.5,24.8,1360
836,UP,2025,Wheat,Alluvial_Soil,7.1,245,3.8,70.5,26.1,850
837,Gujarat,2026,Cotton,Black_Soil,7.8,152,1.9,32.5,22.3,1410
838,Maharashtra,2000,Sugarcane,Deep_Black,7.9,265,4.2,968,19.2,1010
839,Karnataka,2001,Tobacco,Red_Loamy,6.6,182,2.6,30.5,30.7,480
840,WB,2002,Jute,New_Alluvial,6.3,132,1.9,45.2,25.4,1100
841,TN,2003,Groundnut,Coastal_Sandy,6.8,142,1.8,35.5,28.1,690
842,Bihar,2004,Maize,Alluvial_Loam,7.1,165,2.4,64.5,21.8,1550
843,Kerala,2005,Cardamom,Forest_Soil,5.2,62,1,7.8,26.6,870
844,Assam,2006,Rice,Alluvial_Clay,5.7,148,2.2,46.5,24.2,1230
845,HP,2007,Wheat,Alluvial_Soil,7.2,172,2.5,55.5,18.4,1040
846,AP,2008,Cotton,Black_Soil,7.6,152,2.1,32.2,31.5,430
847,Odisha,2009,Rice,Red_Yellow,6.3,158,2.3,49.2,23.9,1520
848,Telangana,2010,Turmeric,Black_Soil,7.4,195,3,78.5,25.1,1110
849,Punjab,2011,Wheat,Alluvial_Soil,7.3,232,3.7,73.2,27.4,850
850,Haryana,2012,Rice,Alluvial_Soil,7.1,222,3.3,64.5,20.8,1420
851,Rajasthan,2013,Mustard,Sandy_Arid,7.8,148,1.9,39.5,29.3,570
852,UP,2014,Sugarcane,Alluvial_Soil,6.8,262,4.5,995,18.6,1030
853,Gujarat,2015,Castor,Sandy_Loam,7.6,138,1.7,44.2,32.1,420
854,Maharashtra,2016,Cotton,Black_Regur,7.9,162,2,34.2,24.4,1170
855,Karnataka,2017,Maize,Red_Loam,6.4,175,2.6,61.5,26.9,770
856,WB,2018,Jute,New_Alluvial,6.3,142,1.9,49.2,22.1,1340
857,TN,2019,Coconut,Coastal_Sandy,6.7,132,1.6,215,19.3,1620
858,Bihar,2020,Maize,Alluvial_Loam,7.1,172,2.4,69.8,28.8,540
859,Kerala,2021,Coffee,Laterite_Soil,5.4,112,1.5,23.2,25.2,920
860,HP,2022,Apple,Mountain_Soil,6.1,202,3.1,205,23.7,1280
861,Assam,2023,Rice,Alluvial_Clay,5.8,152,2.2,50.2,17.2,1090
862,Punjab,2024,Rice,Alluvial_Soil,7.1,242,3.8,67.5,33.3,360
863,Haryana,2025,Cotton,Sandy_Loam,7.7,162,2.4,40.2,21.9,1580
864,Rajasthan,2026,Guar,Sandy_Desert,8.4,88,1.3,27.2,27.6,730
865,UP,2000,Wheat,Alluvial_Soil,7.1,252,4,73.8,24.1,1190
866,Gujarat,2001,Groundnut,Sandy_Loam,7.3,148,2,41.2,20.5,960
867,Maharashtra,2002,Sugarcane,Deep_Black,7.9,272,4.7,970,30.2,590
868,MP,2003,Gram,Black_Soil,7.5,142,1.9,31.5,25.8,1330
869,WB,2004,Jute,Deltaic_Alluvial,6.3,145,1.8,43.5,28.4,780
870,AP,2005,Chillies,Black_Soil,7.5,165,2.4,35.2,22.5,1490
871,Karnataka,2006,Ragi,Red_Loamy,6.2,132,1.7,41.2,19.1,1120
872,TN,2007,Coconut,Coastal_Sandy,6.7,135,1.9,185,31.4,490
873,Kerala,2008,Tea,Laterite_Soil,5.2,202,3.2,43.2,24.6,1030
874,Bihar,2009,Maize,Alluvial_Soil,7,152,2.3,47.5,26.2,670
875,Assam,2010,Tea,Acidic_Alluvial,4.9,212,3.5,39.2,23.3,1560
876,HP,2011,Apple,Mountain_Soil,6,205,3.3,178,21.6,880
877,Odisha,2012,Rice,Red_Yellow,6.3,162,2.2,49.8,29.7,1230
878,Chhattisgarh,2013,Soybean,Red_Soil,6.2,148,2,30.2,25.5,990
879,Telangana,2014,Cotton,Black_Soil,7.6,172,2.4,33.2,27.1,1410
880,Uttarakhand,2015,Basmati_Rice,Loamy_Soil,6.6,182,2.6,47.8,18.7,760
881,Jharkhand,2016,Pulses,Red_Soil,6.3,122,1.5,23.5,30.1,480
882,Punjab,2017,Mustard,Alluvial_Soil,7.2,165,2.3,36.2,24.4,1150
883,Gujarat,2018,Castor,Sandy_Loam,7.5,152,2.1,41.8,26.8,1320
884,Haryana,2019,Wheat,Alluvial_Soil,7.3,235,3.5,71.8,22.1,930
885,UP,2020,Sugarcane,Alluvial_Loam,6.9,282,4.7,972,20.2,1540
886,WB,2021,Rice,Clayey_Alluvial,5.9,178,2.7,60.5,28.5,640
887,Maharashtra,2022,Cotton,Deep_Black,7.7,162,2.3,35.2,25.9,1070
888,MP,2023,Soybean,Medium_Black,7.4,155,2.2,29.5,23.4,1420
889,Rajasthan,2024,Wheat,Sandy_Loam,7.8,135,1.9,48.5,31.6,370
890,Karnataka,2025,Maize,Red_Loamy,6.5,185,2.8,54.5,19.8,1270
891,AP,2026,Cotton,Black_Soil,7.6,162,2.4,34.5,27.3,880
892,TN,2000,Banana,Alluvial_Loam,6.7,222,3.4,485,24.6,1200
893,Kerala,2001,Pepper,Red_Loam,5.5,102,1.4,19.5,22.9,940
894,Bihar,2002,Tobacco,Calcareous_Alluvial,7,145,2.1,37.5,28.2,560
895,Assam,2003,Rubber,Forest_Soil,5.4,122,1.7,29.5,21.5,1470
896,HP,2004,Potato,Mountain_Soil,5.9,202,3.3,325,25.1,1050
897,J_K,2005,Saffron,Karewa_Soil,7.8,82,1.2,0.23,23.6,1300
898,Odisha,2006,Groundnut,Red_Soil,6.8,145,2.3,38.5,24.2,1160
899,Telangana,2007,Turmeric,Red_Loamy,6.9,195,3.2,92,26.6,840
900,Chhattisgarh,2008,Rice,Red_Yellow_Soil,6.3,172,2.5,57.8,22.7,1330
901,Punjab,2009,Wheat,Alluvial_Soil,7.2,215,3.3,68.8,28.3,630
902,Haryana,2010,Rice,Alluvial_Soil,7.1,202,3,58.8,19.4,1080
903,UP,2011,Sugarcane,Alluvial_Loam,6.8,272,4.4,948,31.5,420
904,Maharashtra,2012,Cotton,Black_Regur,7.8,145,2.5,30.8,25.1,1210
905,Gujarat,2013,Groundnut,Sandy_Loam,7.4,128,1.8,35.8,27.6,750
906,Karnataka,2014,Maize,Red_Loam,6.4,168,2.4,52.8,23.8,1440
907,AP,2015,Rice,Coastal_Alluvial,6.6,195,3,48.8,21.2,1590
908,TN,2016,Coconut,Coastal_Sandy,6.7,115,1.5,188,29.5,540
909,Kerala,2017,Rubber,Laterite_Soil,5.1,98,1.3,30.2,26.4,890
910,MP,2018,Soybean,Medium_Black,7.5,155,2,27.8,24.5,1250
911,Rajasthan,2019,Wheat,Sandy_Loam,7.9,122,1.7,41,18.3,1070
912,Bihar,2020,Maize,Alluvial_Loam,7.1,165,2.3,61.2,32.6,380
913,Assam,2021,Jute,Alluvial_Clay,5.8,108,1.9,35.8,22.4,1520
914,HP,2022,Apple,Mountain_Soil,6,188,3.7,182,27.3,730
915,Odisha,2023,Rice,Red_Yellow,6.3,148,2.4,45.2,25.6,1150
916,Telangana,2024,Turmeric,Black_Soil,7.5,178,2.8,76.2,19.8,940
917,Punjab,2025,Mustard,Alluvial_Soil,7.3,158,2.1,33.2,28.6,600
918,Haryana,2026,Wheat,Alluvial_Soil,7.2,225,3.5,68,24.1,1340
919,UP,2000,Potato,Alluvial_Loam,6.9,258,4.2,345,27.2,810
920,Maharashtra,2001,Jowar,Regur_Soil,7.7,98,1.4,24.8,23.5,1480
921,Karnataka,2002,Tobacco,Red_Loamy,6.5,175,2.4,28.2,18.2,1010
922,WB,2003,Tea,Acidic_Alluvial,5.3,195,3,39.2,31.1,470
923,AP,2004,Chillies,Black_Soil,7.6,165,2.3,32.2,25.7,1120
924,Kerala,2005,Pepper,Red_Loam,5.5,88,1.2,16.8,28.5,710
925,Bihar,2006,Gram,Alluvial_Soil,7.1,125,1.8,25.2,21.4,1540
926,Assam,2007,Rubber,Forest_Soil,5.4,115,1.6,24.2,26.2,870
927,HP,2008,Potato,Mountain_Soil,5.9,192,3.4,292,24.8,1220
928,J_K,2009,Saffron,Karewa_Soil,7.8,68,1,0.21,17.5,1130
929,Odisha,2010,Sugarcane,Coastal_Alluvial,6.8,215,3.8,842,32.9,350
930,Telangana,2011,Soybean,Black_Soil,7.4,145,2.2,25.2,23.2,1470
931,Chhattisgarh,2012,Pulses,Red_Yellow_Soil,6.1,118,1.7,20.2,27.4,820
932,Jharkhand,2013,Potato,Red_Loamy,6.4,168,2.4,258,25.3,1180
933,Punjab,2014,Rice,Alluvial_Soil,7.2,238,3.7,64.2,20.5,930
934,Haryana,2015,Mustard,Sandy_Loam,7.6,168,2.5,35,29.7,650
935,Rajasthan,2016,Bajra,Sandy_Desert,8.3,88,1.3,22.2,24.9,1370
936,UP,2017,Wheat,Alluvial_Soil,7.1,248,3.9,71.2,26.2,840
937,Gujarat,2018,Cotton,Black_Soil,7.8,155,2,33.2,22.4,1420
938,Maharashtra,2019,Sugarcane,Deep_Black,7.9,268,4.3,972,19.3,1020
939,Karnataka,2020,Tobacco,Red_Loamy,6.6,185,2.7,31.2,30.6,490
940,WB,2021,Jute,New_Alluvial,6.3,135,2,45.8,25.5,1110
941,TN,2022,Groundnut,Coastal_Sandy,6.8,145,1.9,36.2,28.2,680
942,Bihar,2023,Maize,Alluvial_Loam,7.1,168,2.5,65.2,21.9,1560
943,Kerala,2024,Cardamom,Forest_Soil,5.2,65,1.1,8.2,26.7,860
944,Assam,2025,Rice,Alluvial_Clay,5.7,152,2.3,47.2,24.3,1240
945,HP,2026,Wheat,Alluvial_Soil,7.2,175,2.6,56.2,18.5,1050
946,AP,2000,Cotton,Black_Soil,7.6,155,2.2,32.8,31.4,440
947,Odisha,2001,Rice,Red_Yellow,6.3,162,2.4,49.8,23.8,1530
948,Telangana,2002,Turmeric,Black_Soil,7.4,198,3.1,79.2,25.2,1120
949,Punjab,2003,Wheat,Alluvial_Soil,7.3,235,3.8,74.2,27.5,860
950,Haryana,2004,Rice,Alluvial_Soil,7.1,225,3.4,65.2,20.7,1430
951,Rajasthan,2005,Mustard,Sandy_Arid,7.8,152,2,40.2,29.4,580
952,UP,2006,Sugarcane,Alluvial_Soil,6.8,265,4.6,998,18.5,1040
953,Gujarat,2007,Castor,Sandy_Loam,7.6,142,1.8,45.2,32.2,410
